Year,Lake,Date.sampled,Julian.Day,Rep,Counted.by,Dent.Adult.M2,Dent.Juv.M2,Dent.Male.M2,Dent.Ephip.M2,Dent.Total.M2,Pulic.Adult.M2,Pulic.Juv.M2,Pulic.Male.M2,Pulic.Ephip.M2,Pulic.Total.M2,Retro.Adult.M2,Retro.Juv.M2,Retro.Male.M2,Retro.Ephip.M2,Retro.Total.M2,Cerio.Adult.M2,Cerio.Juv.M2,Cerio.Male.M2,Cerio.Ephip.M2,Cerio.Total.M2,Dubia.Adult.M2,Dubia.Juv.M2,Dubia.Male.M2,Dubia.Ephip.M2,Dubia.Total.M2,Parv.Adult.M2,Parv.Juv.M2,Parv.Male.M2,Parv.Ephip.M2,Parv.Total.M2,Ambig.Adult.M2,Ambig.Juv.M2,Ambig.Male.M2,Ambig.Ephip.M2,Ambig.Total.M2,Mend.Adult.M2,Mend.Juv.M2,Mend.Male.M2,Mend.Ephip.M2,Mend.Total.M2,Retro.Parv.Adult.M2,Retro.Parv.Juv.M2,Retro.Parv.Total.M2
2014,Cedar,7/17/2014,2014198,1,CDG,24940.2,55900.5,0,0,80840.7,860,3870,0,0,4730,1720,13330.1,0,0,15050.1,215,215,NA,0,430,3268,4644,0,0,7912.1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Cedar,7/28/2014,2014209,1,CDG,13330.1,50740.4,0,0,64070.5,430,430,0,0,860,1720,4586.7,0,0,6306.7,215,0,NA,0,215,0,860,0,0,860,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Cedar,8/11/2014,2014223,1,CDG,21070.2,17200.1,0,0,38270.3,430,430,0,0,860,1720,2150,0,0,3870,0,0,NA,0,0,430,1720,0,0,2150,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Cedar,8/27/2014,2014239,1,CDG,15193.5,19206.8,0,0,34400.3,430,430,0,0,860,5160,7740.1,0,0,12900.1,0,286.7,NA,0,286.7,0,860,0,0,860,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Cedar,9/11/2014,2014254,1,CDG,33110.3,49450.4,0,0,82560.7,0,430,0,0,430,25370.2,45150.4,0,0,70520.6,430,0,NA,0,430,430,430,0,0,860,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Cedar,9/23/2014,2014266,1,CDG,34400.3,40850.3,430,0,75680.6,1720,645,0,0,2365,5590,14620.1,0,0,20210.2,1146.7,2293.4,NA,0,3440,0,430,0,0,430,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Cedar,10/10/2014,2014283,1,CDG,37840.3,33540.3,6880.1,430,78690.6,573.3,0,0,0,573.3,18060.1,65933.9,573.3,0,84567.4,0,2580,NA,0,2580,286.7,860,0,0,1146.7,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Cedar,10/22/2014,2014295,1,CDG,38270.3,57190.5,28810.2,1720,125991,430,1290,0,0,1720,21070.2,29670.2,3010,0,53750.4,1290,0,NA,0,1290,430,0,0,0,430,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Cedar,11/6/2014,2014310,1,CDG,21930.2,11610.1,8170.1,4300,46010.4,0,430,0,0,430,3440,12900.1,1290,430,18060.1,0,430,NA,0,430,0,430,0,0,430,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Pickerel,7/24/2014,2014205,1,CDG,10320.1,9030.1,0,0,19350.2,15193.5,38413.6,860,0,54467.1,0,286.7,0,0,286.7,860,1146.7,NA,0,2006.7,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Pickerel,8/5/2014,2014217,1,CDG,9030.1,7740.1,0,0,16770.1,21070.2,39990.3,430,0,61490.5,0,860,0,0,860,430,430,NA,0,860,0,430,0,0,430,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Pickerel,8/21/2014,2014233,1,CDG,7740.1,14190.1,0,0,21930.2,10033.4,23506.9,0,0,33540.3,573.3,2293.4,0,0,2866.7,573.3,1433.3,NA,0,2006.7,573.3,1146.7,0,0,1720,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Pickerel,9/4/2014,2014247,1,CDG,29240.2,22933.5,0,0,52173.8,15480.1,38127,573.3,0,54180.4,3655,5590,0,0,9245.1,860,0,NA,0,860,1146.7,1146.7,0,0,2293.4,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Pickerel,9/18/2014,2014261,1,CDG,8170.1,23650.2,0,0,31820.3,14333.4,31246.9,1720,0,47300.4,8313.4,8886.7,0,0,17200.1,0,860,NA,0,860,1290,860,0,0,2150,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Pickerel,10/3/2014,2014276,1,CDG,49880.4,56330.5,430,0,106640.9,13760.1,23650.2,860,0,38270.3,9030.1,20640.2,0,0,29670.2,1548,2752,NA,0,4300,1290,2580,0,0,3870,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Pickerel,10/17/2014,2014290,1,CDG,11180.1,26660.2,6880.1,0,44720.4,3225,9030.1,0,0,12255.1,4013.4,9173.4,0,0,13186.8,860,1720,NA,0,2580,0,0,0,0,0,0,215,0,0,215,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Pickerel,10/31/2014,2014304,1,CDG,27520.2,20066.8,25226.9,11466.8,84280.7,2150,4300,0,0,6450.1,6880.1,6450.1,2150,0,15480.1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Pickerel,11/14/2014,2014318,1,CDG,13330.1,8170.1,20640.2,8600.1,50740.4,573.3,1720,0,0,2293.4,4300,17200.1,0,430,21930.2,573.3,0,NA,0,573.3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,North,7/24/2014,2014205,1,CDG,43430.4,58910.5,0,0,102340.8,430,4300,0,0,4730,5590,5160,0,0,10750.1,573.3,1146.7,NA,0,1720,0,0,0,0,0,0,0,0,0,0,860,2006.7,NA,NA,2866.7,0,0,0,0,0,NA,NA,NA
2014,North,8/4/2014,2014216,1,CDG,19206.8,17486.8,0,0,36693.6,430,215,0,0,645,7095.1,5160,0,0,12255.1,0,215,NA,0,215,0,0,0,0,0,0,0,0,0,0,215,0,NA,NA,215,0,0,0,0,0,NA,NA,NA
2014,North,8/18/2014,2014230,1,CDG,30100.2,21213.5,0,0,51313.8,0,0,0,0,0,16626.8,31533.6,0,0,48160.4,860,286.7,NA,0,1146.7,0,0,0,0,0,0,573.3,0,0,573.3,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,North,9/2/2014,2014245,1,CDG,37840.3,38700.3,0,0,76540.6,0,0,0,0,0,79980.6,164691.3,0,0,244672,3010,1720,NA,0,4730,0,0,0,0,0,0,430,0,0,430,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,North,9/15/2014,2014258,1,CDG,7740.1,28380.2,0,0,36120.3,0,0,0,0,0,53750.4,98470.8,0,0,152221.2,1720,1433.3,NA,0,3153.4,0,0,0,0,0,860,860,0,0,1720,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,North,9/29/2014,2014272,1,CDG,24080.2,46010.4,3440,430,73960.6,0,0,0,0,0,68800.6,136741.1,430,0,205971.7,430,1720,NA,0,2150,0,0,0,0,0,0,430,0,0,430,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,North,10/14/2014,2014287,1,CDG,45150.4,31390.3,15910.1,9890.1,102340.8,0,0,0,0,0,43000.3,35690.3,0,0,78690.6,430,0,NA,0,430,0,0,0,0,0,0,0,0,0,0,430,0,NA,NA,430,0,0,0,0,0,NA,NA,NA
2014,North,10/27/2014,2014300,1,CDG,35690.3,21500.2,32680.3,23650.2,113520.9,0,0,0,0,0,75680.6,84710.7,3440,0,163831.3,0,0,NA,860,860,0,0,0,0,0,860,0,0,0,860,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,North,11/11/2014,2014315,1,CDG,0,430,2580,4730,7740.1,0,860,0,0,860,68370.6,79550.6,9890.1,4730,162541.3,0,430,NA,0,430,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Whitmore,7/22/2014,2014203,1,CDG,860,0,0,0,860,8026.7,27233.6,286.7,0,35547,25226.9,26086.9,0,0,51313.8,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Whitmore,8/6/2014,2014218,1,CDG,286.7,0,0,0,286.7,14620.1,12613.4,0,0,27233.6,52030.4,55900.5,0,0,107930.9,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Whitmore,8/22/2014,2014234,1,CDG,430,430,0,0,860,6450.1,7740.1,0,0,14190.1,45150.4,58050.5,0,0,103200.8,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Whitmore,9/5/2014,2014248,1,CDG,0,1290,0,0,1290,2150,16770.1,0,0,18920.2,48590.4,28380.2,0,0,76970.6,860,860,NA,0,1720,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Whitmore,9/19/2014,2014262,1,CDG,573.3,573.3,0,0,1146.7,3440,860,0,0,4300,5160,9173.4,0,0,14333.4,573.3,573.3,NA,0,1146.7,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,286.7,0,0,286.7,NA,NA,NA
2014,Whitmore,10/2/2014,2014275,1,CDG,2795,4515,0,0,7310.1,4873.4,3726.7,0,0,8600.1,4873.4,5446.7,0,0,10320.1,430,0,NA,215,645,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,430,0,0,430,NA,NA,NA
2014,Whitmore,10/16/2014,2014289,1,CDG,2795,1935,0,0,4730,860,573.3,0,0,1433.3,2293.4,1720,0,0,4013.4,286.7,286.7,NA,0,573.3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,286.7,286.7,0,0,573.3,NA,NA,NA
2014,Whitmore,10/30/2014,2014303,2,CDG,860,1204,0,0,2064,0,0,0,0,0,6306.7,7740.1,0,0,14046.8,0,573.3,NA,573.3,1146.7,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,860,573.3,0,1433.3,NA,NA,NA
2014,Whitmore,11/13/2014,2014317,1,CDG,1720,6306.7,286.7,0,8313.4,430,430,0,0,860,9890.1,12900.1,1720,860,25370.2,0,215,NA,430,645,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1505,2795,0,0,4300,NA,NA,NA
2014,CrookedP,7/23/2014,2014204,1,CDG,42140.3,51170.4,0,0,93310.8,0,0,0,0,0,860,1290,0,0,2150,7310.1,5590,NA,0,12900.1,0,0,0,0,0,3870,13760.1,0,0,17630.1,430,0,NA,NA,430,0,0,0,0,0,NA,NA,NA
2014,CrookedP,8/4/2014,2014216,1,CDG,22646.9,28666.9,0,0,51313.8,286.7,0,0,0,286.7,3153.4,3726.7,0,0,6880.1,16770.1,12900.1,NA,0,29670.2,0,0,0,0,0,4586.7,14333.4,0,0,18920.2,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,CrookedP,8/18/2014,2014230,1,CDG,18920.2,24940.2,0,0,43860.4,573.3,286.7,0,0,860,3870,3870,0,0,7740.1,27090.2,13330.1,NA,0,40420.3,0,0,0,0,0,13473.4,16913.5,0,0,30386.9,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,CrookedP,9/2/2014,2014245,1,CDG,12470.1,33540.3,0,0,46010.4,0,0,0,0,0,4873.4,9746.7,0,0,14620.1,13186.8,15193.5,NA,0,28380.2,0,286.7,0,0,286.7,8886.7,24366.9,0,0,33253.6,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,CrookedP,9/15/2014,2014258,1,CDG,28380.2,22790.2,0,0,51170.4,0,0,0,0,0,3612,5676,0,0,9288.1,12613.4,8313.4,NA,0,20926.8,0,0,0,0,0,6593.4,5733.4,0,0,12326.8,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,CrookedP,9/29/2014,2014272,1,CDG,25370.2,49880.4,5160,0,80410.7,0,0,0,0,0,7310.1,4300,0,0,11610.1,7310.1,7740.1,NA,0,15050.1,0,0,0,0,0,18490.2,21500.2,430,0,40420.3,215,0,NA,NA,215,0,0,0,0,0,NA,NA,NA
2014,CrookedP,10/14/2014,2014287,1,CDG,55900.5,53750.4,23650.2,860,134161.1,286.7,0,0,0,286.7,4586.7,5160,0,0,9746.7,12040.1,10105.1,NA,4945,27090.2,0,0,0,0,0,15910.1,79980.6,1290,0,97180.8,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,CrookedP,10/27/2014,2014300,1,CDG,30100.2,11610.1,25370.2,13330.1,80410.7,0,0,0,0,0,10893.4,4300,1433.3,0,16626.8,3956,2236,NA,3440,9632.1,0,0,0,0,0,25800.2,52460.4,1290,0,79550.6,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,CrookedP,11/11/2014,2014315,1,CDG,1720,430,6880.1,5160,14190.1,0,0,0,0,0,4300,3096,1204,172,8772.1,286.7,0,NA,860,1146.7,0,0,0,0,0,28953.6,29526.9,1146.7,0,59627.2,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Bishop,7/18/2014,2014199,1,CDG,7453.4,8886.7,0,0,16340.1,860,1433.3,0,0,2293.4,33970.3,92020.7,0,0,125991,0,0,NA,0,0,2293.4,6306.7,0,0,8600.1,0,0,0,0,0,0,286.7,NA,NA,286.7,0,0,0,0,0,NA,NA,NA
2014,Bishop,7/31/2014,2014212,1,CDG,2293.4,7166.7,0,0,9460.1,430,430,0,0,860,27520.2,93310.8,0,0,120831,0,0,NA,0,0,4300,6450.1,0,0,10750.1,0,0,0,0,0,0,860,NA,NA,860,0,0,0,0,0,NA,NA,NA
2014,Bishop,8/13/2014,2014225,1,CDG,2580,4730,0,0,7310.1,0,430,0,0,430,14190.1,53750.4,0,0,67940.6,0,0,NA,0,0,3870,9460.1,0,0,13330.1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Bishop,8/28/2014,2014240,1,CDG,9030.1,10750.1,0,0,19780.2,516,0,0,0,516,21213.5,36120.3,0,0,57333.8,1032,2236,NA,0,3268,7740.1,5590,0,0,13330.1,0,0,0,0,0,172,172,NA,NA,344,0,0,0,0,0,NA,NA,NA
2014,Bishop,9/12/2014,2014255,1,CDG,8313.4,14620.1,0,0,22933.5,0,573.3,0,0,573.3,14190.1,22790.2,0,0,36980.3,4586.7,4013.4,NA,0,8600.1,6020,3010,0,0,9030.1,0,0,0,0,0,286.7,286.7,NA,NA,573.3,0,0,0,0,0,NA,NA,NA
2014,Bishop,9/26/2014,2014269,1,CDG,12040.1,10750.1,0,0,22790.2,0,0,0,0,0,1433.3,3440,0,0,4873.4,860,1290,NA,430,2580,1290,430,0,0,1720,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Bishop,10/7/2014,2014280,1,CDG,20640.2,51170.4,1290,0,73100.6,286.7,0,0,0,286.7,13330.1,31820.3,0,0,45150.4,4873.4,14333.4,NA,1433.3,20640.2,2293.4,8600.1,0,0,10893.4,0,0,0,0,0,0,860,NA,NA,860,0,0,0,0,0,NA,NA,NA
2014,Bishop,10/24/2014,2014297,1,CDG,11610.1,17200.1,17630.1,1720,48160.4,0,0,0,0,0,22360.2,24940.2,5160,430,52890.4,2795,12255.1,NA,5375,20425.2,1146.7,3153.4,0,0,4300,0,0,0,0,0,0,860,NA,NA,860,0,0,0,0,0,NA,NA,NA
2014,Bishop,11/4/2014,2014308,1,CDG,11610.1,11180.1,13330.1,3440,39560.3,0,0,0,0,0,36980.3,36550.3,18060.1,430,92020.7,1433.3,8600.1,NA,3153.4,13186.8,4300,3010,430,0,7740.1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
2014,Woodland,7/22/2014,2014203,1,CDG,0,860,0,0,860,0,0,0,0,0,4300,12040.1,0,0,16340.1,8170.1,13760.1,NA,0,21930.2,0,0,0,0,0,0,0,0,0,0,0,430,NA,NA,430,0,0,0,0,0,NA,NA,NA
2014,Woodland,8/6/2014,2014218,1,CDG,430,430,0,0,860,0,430,0,0,430,5160,26660.2,0,0,31820.3,20640.2,20210.2,NA,0,40850.3,0,0,0,0,0,430,860,0,0,1290,430,430,NA,NA,860,0,0,0,0,0,NA,NA,NA
2014,Woodland,8/22/2014,2014234,1,CDG,860,0,0,0,860,0,0,0,0,0,3440,11610.1,0,0,15050.1,2150,4300,NA,0,6450.1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA
