Animal ID,Lake,Round,Age,Ephippia,D0_date,D0_infstatus,Death_date,D1_date,D1_INFSTATUS,D4_date,D4_INFSTATUS,D8_date,D8_INFSTATUS,D11_date,D11_INFSTATUS,D15_date,D15_INFSTATUS
C1-1,Cedar,1,J,N,07-15-2024,U,7/23/2024,07-16-2024,U,07-18-2024,U,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-2,Cedar,1,J,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-3,Cedar,1,J,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-4,Cedar,1,A,N,07-15-2024,U,7/16/2024,07-16-2024,DEAD,07-18-2024,DEAD,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-5,Cedar,1,A,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-6,Cedar,1,J,N,07-15-2024,U,7/16/2024,07-16-2024,DEAD,07-18-2024,DEAD,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-7,Cedar,1,A,N,07-15-2024,U,7/23/2024,07-16-2024,U,07-18-2024,U,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-8,Cedar,1,A,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-9,Cedar,1,J,N,07-15-2024,U,7/23/2024,07-16-2024,U,07-18-2024,U,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-10,Cedar,1,A,N,07-15-2024,U,7/26/2024,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,DEAD,07-30-2024,DEAD
C1-11,Cedar,1,J,N,07-15-2024,U,7/16/2024,07-16-2024,DEAD,07-18-2024,DEAD,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-12,Cedar,1,A,N,07-15-2024,U,7/16/2024,07-16-2024,DEAD,07-18-2024,DEAD,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-13,Cedar,1,A,N,07-15-2024,U,7/18/2024,07-16-2024,U,07-18-2024,DEAD,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-14,Cedar,1,A,N,07-15-2024,U,7/23/2024,07-16-2024,U,07-18-2024,U,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-15,Cedar,1,J,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-16,Cedar,1,A,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-17,Cedar,1,J,N,07-15-2024,U,,07-16-2024,U,07-18-2024,MICG,07-23-2024,MICG,07-26-2024,U,07-30-2024,MICG
C1-18,Cedar,1,J,N,07-15-2024,U,7/18/2024,07-16-2024,U,07-18-2024,DEAD,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-19,Cedar,1,A,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-20,Cedar,1,A,N,07-15-2024,U,7/16/2024,07-16-2024,DEAD,07-18-2024,DEAD,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-21,Cedar,1,A,N,07-15-2024,U,7/16/2024,07-16-2024,DEAD,07-18-2024,DEAD,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-22,Cedar,1,J,N,07-15-2024,U,7/30/2024,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,DEAD
C1-23,Cedar,1,J,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-24,Cedar,1,J,N,07-15-2024,U,7/30/2024,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,DEAD
C1-25,Cedar,1,A,N,07-15-2024,U,7/30/2024,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,DEAD
C1-26,Cedar,1,A,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-27,Cedar,1,A,N,07-15-2024,U,7/26/2024,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,DEAD,07-30-2024,DEAD
C1-28,Cedar,1,A,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-29,Cedar,1,A,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,MICG
C1-30,Cedar,1,J,N,07-15-2024,U,U,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-31,Cedar,1,A,N,07-15-2024,U,7/18/2024,07-16-2024,U,07-18-2024,DEAD,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-32,Cedar,1,J,N,07-15-2024,U,7/16/2024,07-16-2024,DEAD,07-18-2024,DEAD,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-33,Cedar,1,J,N,07-15-2024,U,7/16/2024,07-16-2024,DEAD,07-18-2024,DEAD,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-34,Cedar,1,J,N,07-15-2024,U,7/16/2024,07-16-2024,DEAD,07-18-2024,DEAD,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-35,Cedar,1,A,N,07-15-2024,U,7/23/2024,07-16-2024,U,07-18-2024,U,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-36,Cedar,1,J,N,07-15-2024,U,7/18/2024,07-16-2024,U,07-18-2024,DEAD,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-37,Cedar,1,A,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,MICG
C1-38,Cedar,1,J,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-39,Cedar,1,J,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-40,Cedar,1,J,N,07-15-2024,U,7/23/2024,07-16-2024,U,07-18-2024,U,07-23-2024,DEAD,07-26-2024,DEAD,07-30-2024,DEAD
C1-41,Cedar,1,A,N,07-15-2024,U,7/26/2024,07-16-2024,U,07-18-2024,MICG,07-23-2024,U,07-26-2024,DEAD,07-30-2024,DEAD
C1-42,Cedar,1,J,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-43,Cedar,1,A,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
C1-44,Cedar,1,J,N,07-15-2024,U,,07-16-2024,U,07-18-2024,U,07-23-2024,U,07-26-2024,U,07-30-2024,U
